target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C124635,1,,,,NC(=O)C1CCCNC1,NC(C(=O)O)c1ccc(O)cc1,NC(=O)C1CCCN(C(=O)C(N)c2ccc(O)cc2)C1,Amidation,,
C124638,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1ccc(Br)cc1Br,NC(=O)C1CCCN(C(=O)Cc2ccc(Br)cc2Br)C1,Amidation,,
C156328,1,,,,O=C(O)Cc1ccccc1F,NNC(=O)C1CCNC1,O=C(Cc1ccccc1F)NNC(=O)C1CCNC1,Amidation,,
C156330,1,,,,O=C(O)Cc1ccccc1F,NNC(=O)C1CCNC1,NNC(=O)C1CCN(C(=O)Cc2ccccc2F)C1,Amidation,,
C156333,1,,,,O=C(O)Cc1ccccc1F,O=C1NCC2CNCC12,O=C1NCC2CN(C(=O)Cc3ccccc3F)CC12,Amidation,,
C124650,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1c(F)cccc1F,NC(=O)C1CCCN(C(=O)Cc2c(F)cccc2F)C1,Amidation,,
C122393,1,,,,NCCc1cocn1,c1ccc2c(c1)CCN2,O=C(NCCc1cocn1)N1CCc2ccccc21,Formation_of_urea_from_two_amines,,
C124666,1,,,,NC(=O)C1CCCNC1,Nc1ccc(C(O)C(=O)O)cc1,NC(=O)C1CCCN(C(=O)C(O)c2ccc(N)cc2)C1,Amidation,,
C124671,1,,,,NC(=O)C1(O)CCCNC1,Cc1ccc(CC(=O)O)cc1,Cc1ccc(CC(=O)N2CCCC(O)(C(N)=O)C2)cc1,Amidation,,
C124673,1,,,,CC1CNCC(C(N)=O)C1,Cc1ccc(CC(=O)O)cc1,Cc1ccc(CC(=O)N2CC(C)CC(C(N)=O)C2)cc1,Amidation,,
C122448,1,,,,CC1CCC(C(N)=O)CN1,COc1ccccc1CC(=O)O,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,Amidation,,
C124674,1,,,,CC1CCC(C(N)=O)CN1,Cc1ccc(CC(=O)O)cc1,Cc1ccc(CC(=O)N2CC(C(N)=O)CCC2C)cc1,Amidation,,
C124679,1,,,,NC(=O)C1(F)CCCNC1,Cc1ccc(CC(=O)O)cc1,Cc1ccc(CC(=O)N2CCCC(F)(C(N)=O)C2)cc1,Amidation,,
C122455,1,,,,COc1ccccc1CC(=O)O,NC(=O)C1CCNC1,COc1ccccc1CC(=O)N1CCC(C(N)=O)C1,Amidation,,
C156377,1,,,,O=C(O)C(Cl)c1ccccc1,NC(=O)C1(O)CCNC1,NC(=O)C1(O)CCN(C(=O)C(Cl)c2ccccc2)C1,Amidation,,
C124705,1,,,,NC(=O)C1(N)CCCNC1,Cc1ccc(CC(=O)O)cc1,Cc1ccc(CC(=O)NC2(C(N)=O)CCCNC2)cc1,Amidation,,
C122473,1,,,,NC(=O)C1CCCNC1,COc1ccccc1C(N)C(=O)O,COc1ccccc1C(N)C(=O)N1CCCC(C(N)=O)C1,Amidation,,
C156395,1,,,,O=C(O)Cc1ccccc1F,CNC(=O)C1CCNC1,CNC(=O)C1CCN(C(=O)Cc2ccccc2F)C1,Amidation,,
C156400,1,,,,O=C(O)C(Cl)c1ccccc1,O=C1NCC2CNCC12,O=C1NCC2CN(C(=O)C(Cl)c3ccccc3)CC12,Amidation,,
C122479,1,,,,CNCCC(N)=O,COc1ccccc1CC(=O)O,COc1ccccc1CC(=O)N(C)CCC(N)=O,Amidation,,
C156403,1,,,,O=C(O)Cc1ccc(Cl)cc1,NC(=O)C1(O)CCNC1,NC(=O)C1(O)CCN(C(=O)Cc2ccc(Cl)cc2)C1,Amidation,,
C156407,1,,,,O=C(O)Cc1ccc(Cl)cc1,NC(=O)C1(F)CCNC1,NC(=O)C1(F)CCN(C(=O)Cc2ccc(Cl)cc2)C1,Amidation,,
C124722,1,,,,O=C1NCC2CCNCC12,Cc1ccc(CC(=O)O)cc1,Cc1ccc(CC(=O)N2CCC3CNC(=O)C3C2)cc1,Amidation,,
C156412,1,,,,O=C(O)Cc1ccc(Cl)cc1,CC1(C(N)=O)CCNC1,CC1(C(N)=O)CCN(C(=O)Cc2ccc(Cl)cc2)C1,Amidation,,
C124727,1,,,,O=C1NC2CNCC1C2,Nc1ccc(C(O)C(=O)O)cc1,Nc1ccc(C(O)C(=O)N2CC3CC(C2)C(=O)N3)cc1,Amidation,,
C156415,1,,,,O=C(O)Cc1ccc(Cl)cc1,CNC(=O)C1CCNC1,CNC(=O)C1CCN(C(=O)Cc2ccc(Cl)cc2)C1,Amidation,,
C122489,1,,,,NC(=O)C1CCCNC1,COc1cccnc1CC(=O)O,COc1cccnc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C128556,1,,,,N=c1ccnc(CCl)[nH]1,NC(=O)Nc1ccc(Br)cc1O,N=c1ccnc(COc2cc(Br)ccc2NC(N)=O)[nH]1,Williamson_ether_synthesis,,
C152216,1,,,,NC(=O)C1(O)CCCNC1,O=C(O)Cc1ccc(O)cn1,NC(=O)C1(O)CCCN(C(=O)Cc2ccc(O)cn2)C1,Amidation,,
C122496,1,,,,NC(=O)C1CCCNC1,CSc1ccccc1CC(=O)O,CSc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122553,1,,,,NC(=O)C1CCCNC1,O=C(O)C1CCc2cccc(Br)c21,NC(=O)C1CCCN(C(=O)C2CCc3cccc(Br)c32)C1,Amidation,,
C124748,1,,,,NC(=O)C1(O)CCCNC1,O=C(O)Cc1cccc(I)c1,NC(=O)C1(O)CCCN(C(=O)Cc2cccc(I)c2)C1,Amidation,,
C124750,1,,,,CNC(=O)C1CCCNC1,O=C(O)Cc1cccc(I)c1,CNC(=O)C1CCCN(C(=O)Cc2cccc(I)c2)C1,Amidation,,
C124751,1,,,,CC1CNCC(C(N)=O)C1,O=C(O)Cc1cccc(I)c1,CC1CC(C(N)=O)CN(C(=O)Cc2cccc(I)c2)C1,Amidation,,
C156441,1,,,,O=C(O)Cc1ccccc1F,NC(=O)C1(F)CCNC1,NC(=O)C1(F)CCN(C(=O)Cc2ccccc2F)C1,Amidation,,
C112,1,,,,NC(=O)C1CCCNC1,COc1ccccc1CC(=O)O,COc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C124764,1,,,,NC(=O)C1(N)CCCNC1,Nc1cccc(CC(=O)O)c1,NC(=O)C1(NC(=O)Cc2cccc(N)c2)CCCNC1,Amidation,,
C152251,1,,,,NC(=O)C1CCCNC1,O=C(O)C1CCc2cccc(O)c21,NC(=O)C1CCCN(C(=O)C2CCc3cccc(O)c32)C1,Amidation,,
C156455,1,,,,O=C(O)Cc1ccccc1F,CC1(C(N)=O)CCNC1,CC1(C(N)=O)CCN(C(=O)Cc2ccccc2F)C1,Amidation,,
C152253,1,,,,O=C1NC2CNCC1C2,O=C(O)C1CCc2cccc(O)c21,O=C1NC2CC1CN(C(=O)C1CCc3cccc(O)c31)C2,Amidation,,
C124770,1,,,,CC1CCC(C(N)=O)CN1,O=C(O)Cc1cccc(I)c1,CC1CCC(C(N)=O)CN1C(=O)Cc1cccc(I)c1,Amidation,,
C156457,1,,,,O=C(O)Cc1ccccc1F,NC(=O)C1(O)CCNC1,NC(=O)C1(O)CCN(C(=O)Cc2ccccc2F)C1,Amidation,,
C156458,1,,,,O=C(O)C(Cl)c1ccccc1,NC(=O)C1(F)CCNC1,NC(=O)C1(F)CCN(C(=O)C(Cl)c2ccccc2)C1,Amidation,,
C156461,1,,,,O=C(O)Cc1ccc(Cl)cc1,O=C1NCC2CNCC12,O=C1NCC2CN(C(=O)Cc3ccc(Cl)cc3)CC12,Amidation,,
