scaffold_id,product_id,smiles,inchikey,num_elaborations,is_scaffold,num_routes,route_1_num_steps,route_1_reaction_1_type,route_1_reaction_1_product_smiles,route_1_reaction_1_product_id,route_1_reaction_1_product_yield,route_1_reaction_1_reactant_1_smiles,route_1_reaction_1_reactant_1_id,route_1_reaction_1_reactant_2_smiles,route_1_reaction_1_reactant_2_id,route_2_num_steps,route_2_reaction_1_type,route_2_reaction_1_product_smiles,route_2_reaction_1_product_id,route_2_reaction_1_product_yield,route_2_reaction_1_reactant_1_smiles,route_2_reaction_1_reactant_1_id,route_2_reaction_1_reactant_2_smiles,route_2_reaction_1_reactant_2_id,route_3_num_steps,route_3_reaction_1_type,route_3_reaction_1_product_smiles,route_3_reaction_1_product_id,route_3_reaction_1_product_yield,route_3_reaction_1_reactant_1_smiles,route_3_reaction_1_reactant_1_id,route_3_reaction_1_reactant_2_smiles,route_3_reaction_1_reactant_2_id,route_4_num_steps,route_4_reaction_1_type,route_4_reaction_1_product_smiles,route_4_reaction_1_product_id,route_4_reaction_1_product_yield,route_4_reaction_1_reactant_1_smiles,route_4_reaction_1_reactant_1_id,route_4_reaction_1_reactant_2_smiles,route_4_reaction_1_reactant_2_id
122393,122393,O=C(NCCc1cocn1)N1CCc2ccccc21,CFBYKVAFAXYDRK-UHFFFAOYSA-N,15,True,2,1,Formation_of_urea_from_two_amines,O=C(NCCc1cocn1)N1CCc2ccccc21,122393,1.0,NCCc1cocn1,122418,c1ccc2c(c1)CCN2,122428,1.0,Formation_of_urea_from_two_amines,O=C(NCCc1cocn1)N1CCc2ccccc21,122393.0,1.0,NCCc1cocn1,122418.0,c1ccc2c(c1)CCN2,122428.0,,,,,,,,,,,,,,,,,,
122448,122448,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,XJRJYHVAUXLXKS-UHFFFAOYSA-N,0,True,4,1,Amidation,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,122448,1.0,CC1CCC(C(N)=O)CN1,62373,COc1ccccc1CC(=O)O,122504,1.0,Amidation,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,122448.0,1.0,CC1CCC(C(N)=O)CN1,62373.0,COc1ccccc1CC(=O)O,122504.0,1.0,Amidation,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,122448.0,1.0,CC1CCC(C(N)=O)CN1,62373.0,COc1ccccc1CC(=O)O,122504.0,1.0,Amidation,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,122448.0,1.0,CC1CCC(C(N)=O)CN1,62373.0,COc1ccccc1CC(=O)O,122504.0
122473,122473,COc1ccccc1C(N)C(=O)N1CCCC(C(N)=O)C1,CCGPYMIAYPDEFF-UHFFFAOYSA-N,0,True,1,1,Amidation,COc1ccccc1C(N)C(=O)N1CCCC(C(N)=O)C1,122473,1.0,NC(=O)C1CCCNC1,62341,COc1ccccc1C(N)C(=O)O,122528,,,,,,,,,,,,,,,,,,,,,,,,,,,
122479,122479,COc1ccccc1CC(=O)N(C)CCC(N)=O,HYRNBUDTYVNBBW-UHFFFAOYSA-N,0,True,4,1,Amidation,COc1ccccc1CC(=O)N(C)CCC(N)=O,122479,1.0,CNCCC(N)=O,3936,COc1ccccc1CC(=O)O,122504,1.0,Amidation,COc1ccccc1CC(=O)N(C)CCC(N)=O,122479.0,1.0,CNCCC(N)=O,3936.0,COc1ccccc1CC(=O)O,122504.0,1.0,Amidation,COc1ccccc1CC(=O)N(C)CCC(N)=O,122479.0,1.0,CNCCC(N)=O,3936.0,COc1ccccc1CC(=O)O,122504.0,1.0,Amidation,COc1ccccc1CC(=O)N(C)CCC(N)=O,122479.0,1.0,CNCCC(N)=O,3936.0,COc1ccccc1CC(=O)O,122504.0
122489,122489,COc1cccnc1CC(=O)N1CCCC(C(N)=O)C1,VJNDTMIDSGNFJC-UHFFFAOYSA-N,14,True,2,1,Amidation,COc1cccnc1CC(=O)N1CCCC(C(N)=O)C1,122489,1.0,NC(=O)C1CCCNC1,62341,COc1cccnc1CC(=O)O,122542,1.0,Amidation,COc1cccnc1CC(=O)N1CCCC(C(N)=O)C1,122489.0,1.0,NC(=O)C1CCCNC1,62341.0,COc1cccnc1CC(=O)O,122542.0,,,,,,,,,,,,,,,,,,
122496,122496,CSc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,OEVXZKJZIWUQNR-UHFFFAOYSA-N,25,True,2,1,Amidation,CSc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,122496,1.0,NC(=O)C1CCCNC1,62341,CSc1ccccc1CC(=O)O,122548,1.0,Amidation,CSc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,122496.0,1.0,NC(=O)C1CCCNC1,62341.0,CSc1ccccc1CC(=O)O,122548.0,,,,,,,,,,,,,,,,,,
124220,124220,O=C(NCCc1cocn1)C1CCc2ccccc21,ZFSYVJFUGWTONQ-UHFFFAOYSA-N,23,True,1,1,Amidation,O=C(NCCc1cocn1)C1CCc2ccccc21,124220,1.0,NCCc1cocn1,122418,O=C(O)C1CCc2ccccc21,125495,,,,,,,,,,,,,,,,,,,,,,,,,,,
124230,124230,NC(=O)C1CCCN(C(=O)Cc2ccccn2)C1,WMWYUEBZLNFETL-UHFFFAOYSA-N,59,True,1,1,Amidation,NC(=O)C1CCCN(C(=O)Cc2ccccn2)C1,124230,1.0,NC(=O)C1CCCNC1,62341,O=C(O)Cc1ccccn1,150352,,,,,,,,,,,,,,,,,,,,,,,,,,,
124231,124231,NC(=O)C1CCCN(C(=O)C2CCOc3ccccc32)C1,RICWRLKMGADZTG-UHFFFAOYSA-N,12,True,1,1,Amidation,NC(=O)C1CCCN(C(=O)C2CCOc3ccccc32)C1,124231,1.0,NC(=O)C1CCCNC1,62341,O=C(O)C1CCOc2ccccc21,146197,,,,,,,,,,,,,,,,,,,,,,,,,,,
124232,124232,NC(=O)C1CCCN(C(=O)Cc2ccn[nH]2)C1,WPGNVVSWAWFFDK-UHFFFAOYSA-N,14,True,1,1,Amidation,NC(=O)C1CCCN(C(=O)Cc2ccn[nH]2)C1,124232,1.0,NC(=O)C1CCCNC1,62341,O=C(O)Cc1ccn[nH]1,133593,,,,,,,,,,,,,,,,,,,,,,,,,,,
124236,124236,NC(=O)C1CCCN(C(=O)C2CCc3ccccc32)C1,QLOUCWDEXUZFHL-UHFFFAOYSA-N,62,True,1,1,Amidation,NC(=O)C1CCCN(C(=O)C2CCc3ccccc32)C1,124236,1.0,NC(=O)C1CCCNC1,62341,O=C(O)C1CCc2ccccc21,125495,,,,,,,,,,,,,,,,,,,,,,,,,,,
124229,112,COc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,OPWHNDXSBIGKDG-UHFFFAOYSA-N,196,False,1,1,Amidation,COc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,112,1.0,NC(=O)C1CCCNC1,62341,COc1ccccc1CC(=O)O,122504,,,,,,,,,,,,,,,,,,,,,,,,,,,
124237,122455,COc1ccccc1CC(=O)N1CCC(C(N)=O)C1,ACVLTQNPXWHBQP-UHFFFAOYSA-N,200,False,2,1,Amidation,COc1ccccc1CC(=O)N1CCC(C(N)=O)C1,122455,1.0,COc1ccccc1CC(=O)O,122504,NC(=O)C1CCNC1,122505,1.0,Amidation,COc1ccccc1CC(=O)N1CCC(C(N)=O)C1,122455.0,1.0,COc1ccccc1CC(=O)O,122504.0,NC(=O)C1CCNC1,122505.0,,,,,,,,,,,,,,,,,,
124233,126351,CC(=O)Nc1ccccc1OCc1nccc(=N)[nH]1,QPMDZUCELCMSLB-UHFFFAOYSA-N,15,False,1,1,Williamson_ether_synthesis,CC(=O)Nc1ccccc1OCc1nccc(=N)[nH]1,126351,1.0,N=c1ccnc(CCl)[nH]1,126071,CC(=O)Nc1ccccc1O,126116,,,,,,,,,,,,,,,,,,,,,,,,,,,
124235,158702,Cc1ccc(CC(=O)N2CCC3C(C2)C3C(N)=O)cc1,CJQYNGGJYUJXOQ-UHFFFAOYSA-N,27,False,1,1,Amidation,Cc1ccc(CC(=O)N2CCC3C(C2)C3C(N)=O)cc1,158702,1.0,Cc1ccc(CC(=O)O)cc1,124422,NC(=O)C1C2CCNCC21,158701,,,,,,,,,,,,,,,,,,,,,,,,,,,
