hippo_id,smiles,inchikey,required_amount_mg,num_poses,poses,tags,num_routes,num_reaction_steps,reaction_dependencies,reactant_dependencies,route_ids,chemistry_types,is_scaffold,scaffold_series,inspirations
122393,O=C(NCCc1cocn1)N1CCc2ccccc21,CFBYKVAFAXYDRK-UHFFFAOYSA-N,1,2,"{237236, 207348}","['iter2 scaffold', 'hits', 'Syndirella scaffold', 'iter2']",2,{1},[120398],"{122418, 122428}","[19, 127]",Formation_of_urea_from_two_amines,True,[122393],A3392a
122489,COc1cccnc1CC(=O)N1CCCC(C(N)=O)C1,VJNDTMIDSGNFJC-UHFFFAOYSA-N,1,4,"{279387, 269227, 269228, 207414}","['[Other] upload_061224', 'P3_20241211', 'Syndirella scaffold', 'iter2 scaffold', 'iter2', '[Other] upload_1 2024-12-06']",2,{1},[120461],"{62341, 122542}","[92, 130]",Amidation,False,[124230],A4283a
122496,CSc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,OEVXZKJZIWUQNR-UHFFFAOYSA-N,1,5,"{292261, 292262, 207449, 207450, 207421}","['[Other] upload_061224', 'P3_20241211', 'Syndirella scaffold', 'iter2 scaffold', 'iter2', '[Other] upload_1 2024-12-06']",2,{1},[120467],"{122548, 62341}","[98, 132]",Amidation,True,[122496],A4386a
124220,O=C(NCCc1cocn1)C1CCc2ccccc21,ZFSYVJFUGWTONQ-UHFFFAOYSA-N,1,2,"{245779, 245780}","['iter2 scaffold', 'iter2', 'Syndirella scaffold']",1,{1},[138256],"{122418, 125495}",[1680],Amidation,True,[124220],A3392a
124230,NC(=O)C1CCCN(C(=O)Cc2ccccn2)C1,WMWYUEBZLNFETL-UHFFFAOYSA-N,1,1,{274626},"['iter2 scaffold', 'iter2', 'Syndirella scaffold']",1,{1},[149387],"{150352, 62341}",[1684],Amidation,True,[124230],A4283a
124231,NC(=O)C1CCCN(C(=O)C2CCOc3ccccc32)C1,RICWRLKMGADZTG-UHFFFAOYSA-N,1,3,"{257875, 257876, 257877}","['iter2 scaffold', 'iter2', 'Syndirella scaffold']",1,{1},[145435],"{146197, 62341}",[1685],Amidation,True,[124231],A4260a
124232,NC(=O)C1CCCN(C(=O)Cc2ccn[nH]2)C1,WPGNVVSWAWFFDK-UHFFFAOYSA-N,1,1,{231959},"['iter2 scaffold', 'iter2', 'Syndirella scaffold']",1,{1},[132234],"{133593, 62341}",[1686],Amidation,True,[124232],A3606a
124236,NC(=O)C1CCCN(C(=O)C2CCc3ccccc32)C1,QLOUCWDEXUZFHL-UHFFFAOYSA-N,1,11,"{222400, 222401, 217163, 217164, 217165, 217166, 280332, 280333, 280334, 280335, 222399}","['iter2 scaffold', 'iter2', 'Syndirella scaffold']",1,{1},[123223],"{62341, 125495}",[1700],Amidation,False,[124229],"A3665a, A4386a, A4202a"
122473,COc1ccccc1C(N)C(=O)N1CCCC(C(N)=O)C1,CCGPYMIAYPDEFF-UHFFFAOYSA-N,1,1,{207395},"['[Other] upload_061224', 'P3_20241211', '[Other] upload_1 2024-12-06']",1,{1},[120444],"{122528, 62341}",[70],Amidation,True,[122473],
146304,NC(=O)C1CCCN(C(=O)C2CCOc3ccc(Br)cc32)C1,OJSQLZKNNXUGPS-UHFFFAOYSA-N,1,2,"{258305, 258306}",['iter2'],1,{1},[145519],"{62341, 146303}",[25167],Amidation,False,[124231],A4260a
