hippo_id,smiles,inchikey,required_amount_mg,quoted_amount,quote_currency,quote_price,quote_lead_time_days,quote_supplier,quote_catalogue,quote_entry,quoted_smiles,quoted_purity,num_reaction_dependencies,num_product_dependencies,reaction_dependencies,product_dependencies,chemistry_types,scaffold_series
122418,NCCc1cocn1,RWIPJFQIYWOQKH-UHFFFAOYSA-N,14.0,100.0,EUR,326.0,10,Enamine,Global catalog,EN300-37274749,Cl.Cl.NCCc1cocn1,,14,14,"[120398, 133762, 133765, 133766, 133772, 134212, 138256, 138287, 138297, 138298, 138303, 138304, 138305, 138310]","[122393, 124220, 135234, 135240, 135242, 135253, 135747, 139945, 139965, 139967, 139976, 139978, 139980, 139990]","Amidation, Formation_of_urea_from_two_amines","[122393, 124220]"
122428,c1ccc2c(c1)CCN2,LPAGFVYQRIESJQ-UHFFFAOYSA-N,3.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-19816,c1ccc2c(c1)CCN2,,3,3,"[120398, 133807, 133808]","[122393, 135317, 135319]",Formation_of_urea_from_two_amines,[122393]
62341,NC(=O)C1CCCNC1,BVOCPVIXARZNQN-UHFFFAOYSA-N,55.0,100.0,EUR,18.0,2,Enamine,EU stock,EN300-18610,NC(=O)C1CCCNC1,,55,55,"[120444, 120461, 120467, 120472, 120536, 120559, 122040, 122049, 122079, 122080, 122087, 122091, 122107, 122118, 122125, 122131, 122133, 122138, 122141, 122146, 122182, 122183, 122190, 122193, 122197, 122199, 122213, 122321, 122384, 122386, 122397, 122412, 122608, 122617, 122798, 123223, 123557, 132234, 132310, 145435, 145519, 145611, 147685, 149387, 149435, 149439, 149471, 149479, 149560, 151203, 151277, 151286, 151287, 151309, 151326]","[112, 122473, 122489, 122496, 122553, 122657, 122686, 124230, 124231, 124232, 124236, 124243, 124255, 124288, 124289, 124298, 124303, 124324, 124337, 124346, 124354, 124357, 124362, 124366, 124372, 124412, 124414, 124423, 124427, 124432, 124435, 124451, 124563, 124635, 124638, 124650, 124666, 124864, 125056, 125832, 133682, 146304, 146407, 148589, 150414, 150420, 150460, 150469, 150563, 152251, 152325, 152334, 152335, 152357, 152374]",Amidation,"[122489, 122496, 124229, 124230, 124231, 124232, 124236]"
122542,COc1cccnc1CC(=O)O,OPKXCVNZKVPQFE-UHFFFAOYSA-N,9.0,50.0,EUR,74.0,2,Enamine,EU stock,EN300-191272,COc1cccnc1CC(=O)O.Cl,,9,9,"[120461, 147749, 147751, 147799, 147801, 147803, 147820, 147821, 151010]","[122489, 148666, 148668, 148717, 148719, 148721, 148738, 148739, 152051]",Amidation,"[122489, 124230]"
122548,CSc1ccccc1CC(=O)O,PSRVZRJMWNFSIZ-UHFFFAOYSA-N,8.0,50.0,EUR,52.0,2,Enamine,EU stock,EN300-127131,CSc1ccccc1CC(=O)O,,8,8,"[120467, 120752, 120754, 120755, 120763, 120766, 120783, 153842]","[122496, 122911, 122913, 122914, 122922, 122925, 122945, 154894]",Amidation,[122496]
125495,O=C(O)C1CCc2ccccc21,JBQMFBWTKWOSQX-UHFFFAOYSA-N,13.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-66970,O=C(O)C1CCc2ccccc21,,13,13,"[123223, 123748, 138256, 138319, 138328, 151372, 151392, 151397, 151405, 151407, 151434, 151437, 155052]","[124220, 124236, 126028, 140006, 140015, 152420, 152440, 152445, 152453, 152455, 152482, 152485, 156205]",Amidation,"[124220, 124229, 124236, 124237]"
150352,O=C(O)Cc1ccccn1,BPSNETAIJADFTO-UHFFFAOYSA-N,8.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-34537,Cl.O=C(O)Cc1ccccn1,,8,8,"[149387, 149512, 149536, 149559, 149575, 149576, 149578, 149579]","[124230, 150509, 150537, 150561, 150578, 150579, 150581, 150582]",Amidation,[124230]
146197,O=C(O)C1CCOc2ccccc21,RGWHTTALQBHDGZ-UHFFFAOYSA-N,9.0,50.0,EUR,105.0,2,Enamine,EU stock,EN300-65938,O=C(O)C1CCOc2ccccc21,,9,9,"[145435, 145539, 145540, 145573, 145575, 145576, 145577, 145581, 145600]","[124231, 146327, 146328, 146365, 146367, 146368, 146369, 146373, 146392]",Amidation,[124231]
133593,O=C(O)Cc1ccn[nH]1,NTVKSUPEUFXUGS-UHFFFAOYSA-N,8.0,50.0,EUR,26.0,2,Enamine,EU stock,EN300-71405,Cl.O=C(O)Cc1ccn[nH]1,,8,8,"[132234, 132256, 132273, 132317, 132326, 132328, 132329, 132330]","[124232, 133619, 133636, 133689, 133699, 133701, 133702, 133703]",Amidation,[124232]
122528,COc1ccccc1C(N)C(=O)O,DQSACLYOIBPCJU-UHFFFAOYSA-N,1.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-7543513,COc1ccccc1C(N)C(=O)O.Cl,,1,1,[120444],[122473],Amidation,[122473]
146303,O=C(O)C1CCOc2ccc(Br)cc21,DHBMXWGCQVIQMR-UHFFFAOYSA-N,2.0,50.0,EUR,165.0,2,Enamine,EU stock,EN300-263155,O=C(O)C1CCOc2ccc(Br)cc21,,2,2,"[145519, 145521]","[146304, 146306]",Amidation,[124231]
122505,NC(=O)C1CCNC1,IQHXABCGSFAKPN-UHFFFAOYSA-N,31.0,50.0,EUR,33.0,2,Enamine,EU stock,EN300-70092,Cl.NC(=O)C1CCNC1,,31,31,"[120426, 154282, 154288, 154307, 154309, 154313, 154316, 154321, 154327, 154328, 154331, 154336, 154339, 154355, 154357, 154363, 154372, 154405, 154409, 154410, 154413, 154582, 154646, 154695, 154762, 154923, 154926, 154948, 154949, 155052, 155630]","[122455, 155345, 155351, 155376, 155378, 155382, 155385, 155390, 155397, 155398, 155401, 155406, 155409, 155428, 155430, 155436, 155445, 155491, 155496, 155497, 155500, 155723, 155799, 155848, 155915, 156076, 156079, 156101, 156102, 156205, 156789]",Amidation,[124237]
124641,O=C(O)Cc1c(F)cccc1F,FUGDCKXBUZFEON-UHFFFAOYSA-N,3.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-100653,O=C(O)Cc1c(F)cccc1F,,3,3,"[122397, 154646, 158368]","[124650, 155799, 159570]",Amidation,"[124229, 124235, 124237]"
124634,NC(C(=O)O)c1ccc(O)cc1,LJCWONGJFPCTTL-UHFFFAOYSA-N,11.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-105272,N[C@@H](C(=O)O)c1ccc(O)cc1,,11,11,"[122384, 123712, 154695, 155941, 155952, 155964, 155966, 155967, 155984, 155988, 158395]","[124635, 125992, 155848, 157100, 157111, 157123, 157125, 157126, 157143, 157147, 159597]",Amidation,"[124229, 124235, 124237]"
155450,CNC(=O)C1CCNC1,BVOWXWSHDIGNRE-UHFFFAOYSA-N,24.0,50.0,EUR,94.0,2,Enamine,EU stock,EN300-257555,CNC(=O)C1CCNC1.Cl,,24,24,"[154416, 154503, 154541, 154603, 154755, 154830, 154856, 154882, 154919, 154965, 155016, 155077, 155126, 155242, 155262, 155322, 155347, 155394, 155447, 155602, 155708, 155795, 155802, 155966]","[155503, 155623, 155677, 155755, 155908, 155983, 156009, 156035, 156072, 156118, 156169, 156230, 156279, 156395, 156415, 156475, 156503, 156550, 156603, 156759, 156867, 156954, 156961, 157125]",Amidation,[124237]
