scaffold_id,product_id,smiles,inchikey,num_elaborations,is_scaffold,num_routes,route_1_num_steps,route_1_reaction_1_type,route_1_reaction_1_product_smiles,route_1_reaction_1_product_id,route_1_reaction_1_product_yield,route_1_reaction_1_reactant_1_smiles,route_1_reaction_1_reactant_1_id,route_1_reaction_1_reactant_2_smiles,route_1_reaction_1_reactant_2_id,route_2_num_steps,route_2_reaction_1_type,route_2_reaction_1_product_smiles,route_2_reaction_1_product_id,route_2_reaction_1_product_yield,route_2_reaction_1_reactant_1_smiles,route_2_reaction_1_reactant_1_id,route_2_reaction_1_reactant_2_smiles,route_2_reaction_1_reactant_2_id,route_3_num_steps,route_3_reaction_1_type,route_3_reaction_1_product_smiles,route_3_reaction_1_product_id,route_3_reaction_1_product_yield,route_3_reaction_1_reactant_1_smiles,route_3_reaction_1_reactant_1_id,route_3_reaction_1_reactant_2_smiles,route_3_reaction_1_reactant_2_id,route_4_num_steps,route_4_reaction_1_type,route_4_reaction_1_product_smiles,route_4_reaction_1_product_id,route_4_reaction_1_product_yield,route_4_reaction_1_reactant_1_smiles,route_4_reaction_1_reactant_1_id,route_4_reaction_1_reactant_2_smiles,route_4_reaction_1_reactant_2_id,route_5_num_steps,route_5_reaction_1_type,route_5_reaction_1_product_smiles,route_5_reaction_1_product_id,route_5_reaction_1_product_yield,route_5_reaction_1_reactant_1_smiles,route_5_reaction_1_reactant_1_id,route_5_reaction_1_reactant_2_smiles,route_5_reaction_1_reactant_2_id
99,99,Cn1nc(C(=O)Nc2cn[nH]c2)c2ccccc21,JXKYXHWVMLLNCD-UHFFFAOYSA-N,0,True,1,1,Amidation,Cn1nc(C(=O)Nc2cn[nH]c2)c2ccccc21,99,1.0,Cn1nc(C(=O)O)c2ccccc21,122409,Nc1cn[nH]c1,122411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104,Cn1nc(C(=O)NCCc2cocn2)c2ccccc21,ONGQCMNCDUWDOR-UHFFFAOYSA-N,0,True,1,1,Amidation,Cn1nc(C(=O)NCCc2cocn2)c2ccccc21,104,1.0,Cn1nc(C(=O)O)c2ccccc21,122409,NCCc1cocn1,122418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,109,Cn1nc(C(=O)NC2CC2CO)c2ccccc21,KPYFSQUXIWVGBB-UHFFFAOYSA-N,0,True,1,1,Amidation,Cn1nc(C(=O)NC2CC2CO)c2ccccc21,109,1.0,Cn1nc(C(=O)O)c2ccccc21,122409,NC1CC1CO,122423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122392,122392,CC(Cc1cocn1)NC(=O)c1nn(C)c2ccccc12,LQNOWDAJBFJAFM-UHFFFAOYSA-N,0,True,2,1,Amidation,CC(Cc1cocn1)NC(=O)c1nn(C)c2ccccc12,122392,1.0,Cn1nc(C(=O)O)c2ccccc21,122409,CC(N)Cc1cocn1,122427,1.0,Amidation,CC(Cc1cocn1)NC(=O)c1nn(C)c2ccccc12,122392.0,1.0,Cn1nc(C(=O)O)c2ccccc21,122409.0,CC(N)Cc1cocn1,122427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
122393,122393,O=C(NCCc1cocn1)N1CCc2ccccc21,CFBYKVAFAXYDRK-UHFFFAOYSA-N,53,True,2,1,Formation_of_urea_from_two_amines,O=C(NCCc1cocn1)N1CCc2ccccc21,122393,1.0,NCCc1cocn1,122418,c1ccc2c(c1)CCN2,122428,1.0,Formation_of_urea_from_two_amines,O=C(NCCc1cocn1)N1CCc2ccccc21,122393.0,1.0,NCCc1cocn1,122418.0,c1ccc2c(c1)CCN2,122428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
122397,122397,NC(=O)C1CCCN(C(=O)NCC2CC2)C1,FPQQXSDKENBGCM-UHFFFAOYSA-N,0,True,1,1,Formation_of_urea_from_two_amines,NC(=O)C1CCCN(C(=O)NCC2CC2)C1,122397,1.0,NC(=O)C1CCCNC1,62341,NCC1CC1,122435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122404,122404,COc1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1,JKJIXILNAMCJIA-UHFFFAOYSA-N,0,True,1,1,Formation_of_urea_from_two_amines,COc1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1,122404,1.0,NC(=O)C1CCCNC1,62341,COc1cccc(N)c1,122442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122445,122445,Cc1ccccc1NC(=O)N1CCCC(C(N)=O)C1,AIEHCHWAPRSECY-UHFFFAOYSA-N,0,True,1,1,Formation_of_urea_from_two_amines,Cc1ccccc1NC(=O)N1CCCC(C(N)=O)C1,122445,1.0,NC(=O)C1CCCNC1,62341,Cc1ccccc1N,122498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122448,122448,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,XJRJYHVAUXLXKS-UHFFFAOYSA-N,0,True,4,1,Amidation,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,122448,1.0,CC1CCC(C(N)=O)CN1,62373,COc1ccccc1CC(=O)O,122504,1.0,Amidation,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,122448.0,1.0,CC1CCC(C(N)=O)CN1,62373.0,COc1ccccc1CC(=O)O,122504.0,1.0,Amidation,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,122448.0,1.0,CC1CCC(C(N)=O)CN1,62373.0,COc1ccccc1CC(=O)O,122504.0,1.0,Amidation,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,122448.0,1.0,CC1CCC(C(N)=O)CN1,62373.0,COc1ccccc1CC(=O)O,122504.0,,,,,,,,,
122462,122462,COc1ccccc1CC(=O)N1CC(C)C(C(N)=O)C1,YUYPXSAJEYKAGG-UHFFFAOYSA-N,0,True,1,1,Amidation,COc1ccccc1CC(=O)N1CC(C)C(C(N)=O)C1,122462,1.0,COc1ccccc1CC(=O)O,122504,CC1CNCC1C(N)=O,122518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
