hippo_id,smiles,inchikey,required_amount_mg,quoted_amount,quote_currency,quote_price,quote_lead_time_days,quote_supplier,quote_catalogue,quote_entry,quoted_smiles,quoted_purity,num_reaction_dependencies,num_product_dependencies,reaction_dependencies,product_dependencies,chemistry_types,scaffold_series
122418,NCCc1cocn1,RWIPJFQIYWOQKH-UHFFFAOYSA-N,24.0,100.0,EUR,326.0,10,Enamine,Global catalog,EN300-37274749,Cl.Cl.NCCc1cocn1,,24,24,"[120388, 120398, 133745, 133756, 133763, 133939, 133951, 134265, 134393, 134509, 134620, 134633, 134771, 134827, 138256, 138291, 138297, 138298, 138299, 138304, 138306, 138310, 138314, 138315]","[104, 122393, 124220, 135201, 135222, 135236, 135460, 135473, 135803, 135939, 136068, 136189, 136203, 136362, 136440, 139953, 139965, 139967, 139969, 139978, 139982, 139990, 139998, 140000]","Amidation, Formation_of_urea_from_two_amines","[122393, 124220]"
122428,c1ccc2c(c1)CCN2,LPAGFVYQRIESJQ-UHFFFAOYSA-N,5.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-19816,c1ccc2c(c1)CCN2,,5,5,"[120398, 133790, 133807, 133808, 134833]","[122393, 135286, 135317, 135319, 136452]",Formation_of_urea_from_two_amines,[122393]
62341,NC(=O)C1CCCNC1,BVOCPVIXARZNQN-UHFFFAOYSA-N,73.0,100.0,EUR,18.0,2,Enamine,EU stock,EN300-18610,NC(=O)C1CCCNC1,,73,73,"[120402, 120409, 120414, 120438, 120458, 120461, 120462, 120467, 120536, 122040, 122041, 122049, 122052, 122057, 122079, 122080, 122087, 122091, 122100, 122110, 122118, 122121, 122125, 122128, 122131, 122133, 122138, 122146, 122149, 122176, 122182, 122183, 122187, 122190, 122199, 122213, 122317, 122374, 122384, 122386, 122397, 122486, 122617, 122755, 123068, 123131, 123153, 123209, 123223, 123557, 123558, 132234, 132292, 132310, 132342, 132839, 145435, 145490, 147685, 149387, 149391, 149435, 149538, 149560, 151227, 151266, 151277, 151286, 151287, 151295, 151309, 151330, 151338]","[112, 122397, 122404, 122445, 122467, 122486, 122489, 122490, 122496, 122657, 124230, 124231, 124232, 124236, 124243, 124245, 124255, 124259, 124265, 124288, 124289, 124298, 124303, 124315, 124328, 124337, 124341, 124346, 124350, 124354, 124357, 124362, 124372, 124376, 124406, 124412, 124414, 124419, 124423, 124435, 124451, 124558, 124622, 124635, 124638, 124650, 124741, 125010, 125333, 125400, 125423, 125479, 125832, 125834, 133660, 133682, 133718, 134252, 146269, 148589, 150359, 150414, 150539, 150563, 152275, 152314, 152325, 152334, 152335, 152343, 152357, 152378, 152386]","Amidation, Formation_of_urea_from_two_amines","[122489, 122496, 124229, 124230, 124231, 124232, 124236]"
122542,COc1cccnc1CC(=O)O,OPKXCVNZKVPQFE-UHFFFAOYSA-N,10.0,50.0,EUR,74.0,2,Enamine,EU stock,EN300-191272,COc1cccnc1CC(=O)O.Cl,,10,10,"[120461, 147749, 147769, 147799, 147801, 147803, 147820, 147821, 149097, 151010]","[122489, 148666, 148687, 148717, 148719, 148721, 148738, 148739, 150057, 152051]",Amidation,"[122489, 124230]"
122548,CSc1ccccc1CC(=O)O,PSRVZRJMWNFSIZ-UHFFFAOYSA-N,8.0,50.0,EUR,52.0,2,Enamine,EU stock,EN300-127131,CSc1ccccc1CC(=O)O,,8,8,"[120467, 120752, 120754, 120755, 120763, 120766, 153842, 153843]","[122496, 122911, 122913, 122914, 122922, 122925, 154894, 154895]",Amidation,[122496]
125495,O=C(O)C1CCc2ccccc21,JBQMFBWTKWOSQX-UHFFFAOYSA-N,16.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-66970,O=C(O)C1CCc2ccccc21,,16,16,"[123223, 123748, 138256, 138319, 138328, 138334, 139330, 151348, 151372, 151392, 151396, 151405, 151407, 151434, 151437, 155052]","[124220, 124236, 126028, 140006, 140015, 140021, 141077, 152396, 152420, 152440, 152444, 152453, 152455, 152482, 152485, 156205]",Amidation,"[124220, 124229, 124236, 124237]"
150352,O=C(O)Cc1ccccn1,BPSNETAIJADFTO-UHFFFAOYSA-N,8.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-34537,Cl.O=C(O)Cc1ccccn1,,8,8,"[149387, 149512, 149536, 149559, 149575, 149576, 149578, 149579]","[124230, 150509, 150537, 150561, 150578, 150579, 150581, 150582]",Amidation,[124230]
146197,O=C(O)C1CCOc2ccccc21,RGWHTTALQBHDGZ-UHFFFAOYSA-N,9.0,50.0,EUR,105.0,2,Enamine,EU stock,EN300-65938,O=C(O)C1CCOc2ccccc21,,9,9,"[145435, 145540, 145573, 145575, 145576, 145577, 145581, 145590, 145600]","[124231, 146328, 146365, 146367, 146368, 146369, 146373, 146382, 146392]",Amidation,[124231]
133593,O=C(O)Cc1ccn[nH]1,NTVKSUPEUFXUGS-UHFFFAOYSA-N,11.0,50.0,EUR,26.0,2,Enamine,EU stock,EN300-71405,Cl.O=C(O)Cc1ccn[nH]1,,11,11,"[132234, 132256, 132261, 132273, 132317, 132318, 132326, 132328, 132329, 132330, 133517]","[124232, 133619, 133624, 133636, 133689, 133690, 133699, 133701, 133702, 133703, 134969]",Amidation,[124232]
62378,O=C1NC2CNCC1C2,ALXAOCUIZADSIB-UHFFFAOYSA-N,50.0,50.0,EUR,567.0,2,Enamine,EU stock,EN300-333198,Cl.O=C1NC2CNCC1C2,,50,50,"[120540, 120715, 122044, 122046, 122085, 122089, 122093, 122102, 122123, 122178, 122180, 122185, 122210, 122319, 122376, 122765, 123155, 123225, 123691, 123697, 123699, 123700, 123701, 123702, 123703, 123706, 123712, 123719, 123731, 123748, 123769, 132294, 132312, 132345, 132862, 145515, 147687, 149393, 149431, 149566, 151010, 151229, 151268, 151279, 151284, 151289, 151297, 151311, 151332, 151336]","[122661, 122873, 124248, 124250, 124295, 124300, 124305, 124317, 124343, 124408, 124410, 124416, 124448, 124560, 124624, 125022, 125425, 125497, 125971, 125977, 125979, 125980, 125981, 125982, 125983, 125986, 125992, 125999, 126011, 126028, 126049, 133662, 133684, 133721, 134282, 146299, 148591, 150361, 150410, 150569, 152051, 152277, 152316, 152327, 152332, 152337, 152345, 152359, 152380, 152384]",Amidation,"[122489, 122496, 124229, 124230, 124231, 124232, 124236]"
