target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C100,1,,,,NC1CC1,Cn1nc(C(=O)O)c2cc(F)ccc21,Cn1nc(C(=O)NC2CC2)c2cc(F)ccc21,Amidation,,
C104,1,,,,Cn1nc(C(=O)O)c2ccccc21,NCCc1cocn1,Cn1nc(C(=O)NCCc2cocn2)c2ccccc21,Amidation,,
C107,1,,,,Cn1cc(C(=O)O)c2ccccc21,Cc1cc(CN)on1,Cc1cc(CNC(=O)c2cn(C)c3ccccc23)on1,Amidation,,
C122391,1,,,,Cn1nc(C(=O)O)c2ccccc21,Cn1cnc(CCN)c1,Cn1cnc(CCNC(=O)c2nn(C)c3ccccc23)c1,Amidation,,
C122392,1,,,,Cn1nc(C(=O)O)c2ccccc21,CC(N)Cc1cocn1,CC(Cc1cocn1)NC(=O)c1nn(C)c2ccccc12,Amidation,,
C122393,1,,,,NCCc1cocn1,c1ccc2c(c1)CCN2,O=C(NCCc1cocn1)N1CCc2ccccc21,Formation_of_urea_from_two_amines,,
C122394,1,,,,O=C(O)Cc1cocn1,Cn1cc2cccc(N)c2n1,Cn1cc2cccc(NC(=O)Cc3cocn3)c2n1,Amidation,,
C122402,1,,,,NC(=O)C1CCCNC1,N#CCc1cccc(N)c1,N#CCc1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1,Formation_of_urea_from_two_amines,,
C122444,1,,,,NC(=O)C1CCCNC1,N#Cc1cccc(N)c1,N#Cc1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1,Formation_of_urea_from_two_amines,,
C122448,1,,,,CC1CCC(C(N)=O)CN1,COc1ccccc1CC(=O)O,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,Amidation,,
C122449,1,,,,NC(=O)C1CCNC1,Cn1cc2c(CC(=O)O)cccc2n1,Cn1cc2c(CC(=O)N3CCC(C(N)=O)C3)cccc2n1,Amidation,,
C122455,1,,,,COc1ccccc1CC(=O)O,NC(=O)C1CCNC1,COc1ccccc1CC(=O)N1CCC(C(N)=O)C1,Amidation,,
C122462,1,,,,COc1ccccc1CC(=O)O,CC1CNCC1C(N)=O,COc1ccccc1CC(=O)N1CC(C)C(C(N)=O)C1,Amidation,,
C122463,1,,,,COc1ccccc1CC(=O)O,NC(=O)C1CNCCO1,COc1ccccc1CC(=O)N1CCOC(C(N)=O)C1,Amidation,,
C122470,1,,,,NC(=O)C1CCCNC1,CNc1ccccc1OC,COc1ccccc1N(C)C(=O)N1CCCC(C(N)=O)C1,Formation_of_urea_from_two_amines,,
C113,1,,,,NC(=O)C1CCCNC1,Cn1cc2c(CC(=O)O)cccc2n1,Cn1cc2c(CC(=O)N3CCCC(C(N)=O)C3)cccc2n1,Amidation,,
C122478,1,,,,NC(=O)C1CCCNC1,Nc1ncccc1CC(=O)O,NC(=O)C1CCCN(C(=O)Cc2cccnc2N)C1,Amidation,,
C122479,1,,,,CNCCC(N)=O,COc1ccccc1CC(=O)O,COc1ccccc1CC(=O)N(C)CCC(N)=O,Amidation,,
