scaffold_id,product_id,smiles,inchikey,num_elaborations,is_scaffold,num_routes,route_1_num_steps,route_1_reaction_1_type,route_1_reaction_1_product_smiles,route_1_reaction_1_product_id,route_1_reaction_1_product_yield,route_1_reaction_1_reactant_1_smiles,route_1_reaction_1_reactant_1_id,route_1_reaction_1_reactant_2_smiles,route_1_reaction_1_reactant_2_id,route_2_num_steps,route_2_reaction_1_type,route_2_reaction_1_product_smiles,route_2_reaction_1_product_id,route_2_reaction_1_product_yield,route_2_reaction_1_reactant_1_smiles,route_2_reaction_1_reactant_1_id,route_2_reaction_1_reactant_2_smiles,route_2_reaction_1_reactant_2_id,route_3_num_steps,route_3_reaction_1_type,route_3_reaction_1_product_smiles,route_3_reaction_1_product_id,route_3_reaction_1_product_yield,route_3_reaction_1_reactant_1_smiles,route_3_reaction_1_reactant_1_id,route_3_reaction_1_reactant_2_smiles,route_3_reaction_1_reactant_2_id,route_4_num_steps,route_4_reaction_1_type,route_4_reaction_1_product_smiles,route_4_reaction_1_product_id,route_4_reaction_1_product_yield,route_4_reaction_1_reactant_1_smiles,route_4_reaction_1_reactant_1_id,route_4_reaction_1_reactant_2_smiles,route_4_reaction_1_reactant_2_id
100,100,Cn1nc(C(=O)NC2CC2)c2cc(F)ccc21,LJCPETRSDJEEFS-UHFFFAOYSA-N,0,True,1,1,Amidation,Cn1nc(C(=O)NC2CC2)c2cc(F)ccc21,100,1.0,NC1CC1,122412,Cn1nc(C(=O)O)c2cc(F)ccc21,122413,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104,Cn1nc(C(=O)NCCc2cocn2)c2ccccc21,ONGQCMNCDUWDOR-UHFFFAOYSA-N,0,True,1,1,Amidation,Cn1nc(C(=O)NCCc2cocn2)c2ccccc21,104,1.0,Cn1nc(C(=O)O)c2ccccc21,122409,NCCc1cocn1,122418,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,107,Cc1cc(CNC(=O)c2cn(C)c3ccccc23)on1,RYIGIXMEYULONZ-UHFFFAOYSA-N,0,True,1,1,Amidation,Cc1cc(CNC(=O)c2cn(C)c3ccccc23)on1,107,1.0,Cn1cc(C(=O)O)c2ccccc21,122407,Cc1cc(CN)on1,122421,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,113,Cn1cc2c(CC(=O)N3CCCC(C(N)=O)C3)cccc2n1,GWEIDNCYZCGNCA-UHFFFAOYSA-N,0,True,1,1,Amidation,Cn1cc2c(CC(=O)N3CCCC(C(N)=O)C3)cccc2n1,113,1.0,NC(=O)C1CCCNC1,62341,Cn1cc2c(CC(=O)O)cccc2n1,122506,,,,,,,,,,,,,,,,,,,,,,,,,,,
122391,122391,Cn1cnc(CCNC(=O)c2nn(C)c3ccccc23)c1,NQHLIPQTOQIZAL-UHFFFAOYSA-N,0,True,1,1,Amidation,Cn1cnc(CCNC(=O)c2nn(C)c3ccccc23)c1,122391,1.0,Cn1nc(C(=O)O)c2ccccc21,122409,Cn1cnc(CCN)c1,122426,,,,,,,,,,,,,,,,,,,,,,,,,,,
122392,122392,CC(Cc1cocn1)NC(=O)c1nn(C)c2ccccc12,LQNOWDAJBFJAFM-UHFFFAOYSA-N,0,True,2,1,Amidation,CC(Cc1cocn1)NC(=O)c1nn(C)c2ccccc12,122392,1.0,Cn1nc(C(=O)O)c2ccccc21,122409,CC(N)Cc1cocn1,122427,1.0,Amidation,CC(Cc1cocn1)NC(=O)c1nn(C)c2ccccc12,122392.0,1.0,Cn1nc(C(=O)O)c2ccccc21,122409.0,CC(N)Cc1cocn1,122427.0,,,,,,,,,,,,,,,,,,
122393,122393,O=C(NCCc1cocn1)N1CCc2ccccc21,CFBYKVAFAXYDRK-UHFFFAOYSA-N,92,True,2,1,Formation_of_urea_from_two_amines,O=C(NCCc1cocn1)N1CCc2ccccc21,122393,1.0,NCCc1cocn1,122418,c1ccc2c(c1)CCN2,122428,1.0,Formation_of_urea_from_two_amines,O=C(NCCc1cocn1)N1CCc2ccccc21,122393.0,1.0,NCCc1cocn1,122418.0,c1ccc2c(c1)CCN2,122428.0,,,,,,,,,,,,,,,,,,
122394,122394,Cn1cc2cccc(NC(=O)Cc3cocn3)c2n1,YEAWWZXWMQIDNB-UHFFFAOYSA-N,0,True,1,1,Amidation,Cn1cc2cccc(NC(=O)Cc3cocn3)c2n1,122394,1.0,O=C(O)Cc1cocn1,122429,Cn1cc2cccc(N)c2n1,122430,,,,,,,,,,,,,,,,,,,,,,,,,,,
122402,122402,N#CCc1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1,UDNDCMKCZBQOCR-UHFFFAOYSA-N,0,True,1,1,Formation_of_urea_from_two_amines,N#CCc1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1,122402,1.0,NC(=O)C1CCCNC1,62341,N#CCc1cccc(N)c1,122440,,,,,,,,,,,,,,,,,,,,,,,,,,,
122444,122444,N#Cc1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1,USAPPLNLVADEDO-UHFFFAOYSA-N,0,True,1,1,Formation_of_urea_from_two_amines,N#Cc1cccc(NC(=O)N2CCCC(C(N)=O)C2)c1,122444,1.0,NC(=O)C1CCCNC1,62341,N#Cc1cccc(N)c1,122497,,,,,,,,,,,,,,,,,,,,,,,,,,,
122448,122448,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,XJRJYHVAUXLXKS-UHFFFAOYSA-N,0,True,4,1,Amidation,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,122448,1.0,CC1CCC(C(N)=O)CN1,62373,COc1ccccc1CC(=O)O,122504,1.0,Amidation,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,122448.0,1.0,CC1CCC(C(N)=O)CN1,62373.0,COc1ccccc1CC(=O)O,122504.0,1.0,Amidation,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,122448.0,1.0,CC1CCC(C(N)=O)CN1,62373.0,COc1ccccc1CC(=O)O,122504.0,1.0,Amidation,COc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,122448.0,1.0,CC1CCC(C(N)=O)CN1,62373.0,COc1ccccc1CC(=O)O,122504.0
122449,122449,Cn1cc2c(CC(=O)N3CCC(C(N)=O)C3)cccc2n1,BRQFGLOHPDECRA-UHFFFAOYSA-N,0,True,1,1,Amidation,Cn1cc2c(CC(=O)N3CCC(C(N)=O)C3)cccc2n1,122449,1.0,NC(=O)C1CCNC1,122505,Cn1cc2c(CC(=O)O)cccc2n1,122506,,,,,,,,,,,,,,,,,,,,,,,,,,,
122462,122462,COc1ccccc1CC(=O)N1CC(C)C(C(N)=O)C1,YUYPXSAJEYKAGG-UHFFFAOYSA-N,0,True,1,1,Amidation,COc1ccccc1CC(=O)N1CC(C)C(C(N)=O)C1,122462,1.0,COc1ccccc1CC(=O)O,122504,CC1CNCC1C(N)=O,122518,,,,,,,,,,,,,,,,,,,,,,,,,,,
122463,122463,COc1ccccc1CC(=O)N1CCOC(C(N)=O)C1,KJLPLKHZEUNURY-UHFFFAOYSA-N,0,True,1,1,Amidation,COc1ccccc1CC(=O)N1CCOC(C(N)=O)C1,122463,1.0,COc1ccccc1CC(=O)O,122504,NC(=O)C1CNCCO1,122519,,,,,,,,,,,,,,,,,,,,,,,,,,,
122470,122470,COc1ccccc1N(C)C(=O)N1CCCC(C(N)=O)C1,BAFLNQPOAQUAMV-UHFFFAOYSA-N,0,True,1,1,Formation_of_urea_from_two_amines,COc1ccccc1N(C)C(=O)N1CCCC(C(N)=O)C1,122470,1.0,NC(=O)C1CCCNC1,62341,CNc1ccccc1OC,122525,,,,,,,,,,,,,,,,,,,,,,,,,,,
