hippo_id,smiles,inchikey,required_amount_mg,quoted_amount,quote_currency,quote_price,quote_lead_time_days,quote_supplier,quote_catalogue,quote_entry,quoted_smiles,quoted_purity,num_reaction_dependencies,num_product_dependencies,reaction_dependencies,product_dependencies,chemistry_types,scaffold_series
122418,NCCc1cocn1,RWIPJFQIYWOQKH-UHFFFAOYSA-N,40.0,100.0,EUR,326.0,10,Enamine,Global catalog,EN300-37274749,Cl.Cl.NCCc1cocn1,,40,40,"[120388, 120398, 133742, 133744, 133751, 133760, 133763, 133767, 133772, 133775, 133787, 133794, 133951, 134034, 134119, 134159, 134161, 134265, 134273, 134310, 134406, 134633, 134713, 138256, 138260, 138287, 138294, 138297, 138298, 138299, 138301, 138302, 138303, 138304, 138305, 138306, 138307, 138310, 138314, 138315]","[104, 122393, 124220, 135195, 135199, 135212, 135230, 135236, 135244, 135253, 135259, 135280, 135294, 135473, 135562, 135650, 135691, 135694, 135803, 135812, 135850, 135953, 136203, 136287, 139910, 139945, 139959, 139965, 139967, 139969, 139973, 139975, 139976, 139978, 139980, 139982, 139984, 139990, 139998, 140000]","Amidation, Formation_of_urea_from_two_amines","[122393, 124220]"
122428,c1ccc2c(c1)CCN2,LPAGFVYQRIESJQ-UHFFFAOYSA-N,5.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-19816,c1ccc2c(c1)CCN2,,5,5,"[120398, 133790, 133807, 133808, 134833]","[122393, 135286, 135317, 135319, 136452]",Formation_of_urea_from_two_amines,[122393]
62341,NC(=O)C1CCCNC1,BVOCPVIXARZNQN-UHFFFAOYSA-N,90.0,100.0,EUR,18.0,2,Enamine,EU stock,EN300-18610,NC(=O)C1CCCNC1,,90,90,"[120407, 120413, 120441, 120447, 120450, 120458, 120461, 120467, 120472, 120478, 120481, 120485, 120536, 120657, 122040, 122041, 122049, 122057, 122079, 122080, 122087, 122091, 122100, 122107, 122110, 122118, 122121, 122125, 122128, 122138, 122141, 122146, 122149, 122155, 122176, 122182, 122183, 122187, 122190, 122193, 122197, 122199, 122213, 122246, 122321, 122380, 122384, 122386, 122486, 122617, 122758, 122795, 122798, 122980, 123131, 123211, 123223, 123287, 123558, 123643, 132234, 132278, 132281, 132337, 132342, 145435, 145452, 145490, 147685, 149387, 149391, 149439, 149454, 149805, 151039, 151203, 151227, 151240, 151249, 151264, 151265, 151266, 151277, 151286, 151287, 151295, 151309, 151326, 151330, 151339]","[112, 113, 122402, 122444, 122470, 122478, 122486, 122489, 122496, 122553, 122559, 122562, 122566, 122657, 122809, 124230, 124231, 124232, 124236, 124243, 124245, 124255, 124265, 124288, 124289, 124298, 124303, 124315, 124324, 124328, 124337, 124341, 124346, 124350, 124362, 124366, 124372, 124376, 124384, 124406, 124412, 124414, 124419, 124423, 124427, 124432, 124435, 124451, 124486, 124563, 124629, 124635, 124638, 124741, 125014, 125053, 125056, 125243, 125400, 125482, 125562, 125834, 125923, 133642, 133646, 133712, 133718, 146220, 146269, 148589, 150359, 150420, 150438, 150815, 152082, 152251, 152275, 152288, 152297, 152312, 152313, 152314, 152325, 152334, 152335, 152343, 152357, 152374, 152378, 152387]","Amidation, Formation_of_urea_from_two_amines","[122489, 122496, 124229, 124230, 124231, 124232, 124236]"
122542,COc1cccnc1CC(=O)O,OPKXCVNZKVPQFE-UHFFFAOYSA-N,13.0,50.0,EUR,74.0,2,Enamine,EU stock,EN300-191272,COc1cccnc1CC(=O)O.Cl,,13,13,"[120461, 147749, 147751, 147769, 147791, 147799, 147801, 147803, 147820, 147821, 149097, 149151, 151010]","[122489, 148666, 148668, 148687, 148709, 148717, 148719, 148721, 148738, 148739, 150057, 150111, 152051]",Amidation,"[122489, 124230]"
122548,CSc1ccccc1CC(=O)O,PSRVZRJMWNFSIZ-UHFFFAOYSA-N,9.0,50.0,EUR,52.0,2,Enamine,EU stock,EN300-127131,CSc1ccccc1CC(=O)O,,9,9,"[120467, 120752, 120754, 120755, 120763, 120766, 120783, 153842, 153843]","[122496, 122911, 122913, 122914, 122922, 122925, 122945, 154894, 154895]",Amidation,[122496]
125495,O=C(O)C1CCc2ccccc21,JBQMFBWTKWOSQX-UHFFFAOYSA-N,16.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-66970,O=C(O)C1CCc2ccccc21,,16,16,"[123223, 123748, 138256, 138319, 138328, 138334, 139330, 151348, 151353, 151372, 151392, 151405, 151407, 151434, 151437, 155052]","[124220, 124236, 126028, 140006, 140015, 140021, 141077, 152396, 152401, 152420, 152440, 152453, 152455, 152482, 152485, 156205]",Amidation,"[124220, 124229, 124236, 124237]"
150352,O=C(O)Cc1ccccn1,BPSNETAIJADFTO-UHFFFAOYSA-N,6.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-34537,Cl.O=C(O)Cc1ccccn1,,6,6,"[149387, 149536, 149575, 149576, 149578, 149579]","[124230, 150537, 150578, 150579, 150581, 150582]",Amidation,[124230]
146197,O=C(O)C1CCOc2ccccc21,RGWHTTALQBHDGZ-UHFFFAOYSA-N,10.0,50.0,EUR,105.0,2,Enamine,EU stock,EN300-65938,O=C(O)C1CCOc2ccccc21,,10,10,"[145435, 145539, 145573, 145575, 145576, 145577, 145581, 145590, 145595, 145600]","[124231, 146327, 146365, 146367, 146368, 146369, 146373, 146382, 146387, 146392]",Amidation,[124231]
133593,O=C(O)Cc1ccn[nH]1,NTVKSUPEUFXUGS-UHFFFAOYSA-N,12.0,50.0,EUR,26.0,2,Enamine,EU stock,EN300-71405,Cl.O=C(O)Cc1ccn[nH]1,,12,12,"[132234, 132256, 132261, 132317, 132318, 132326, 132328, 132329, 132330, 132334, 133226, 133517]","[124232, 133619, 133624, 133689, 133690, 133699, 133701, 133702, 133703, 133707, 134672, 134969]",Amidation,[124232]
62378,O=C1NC2CNCC1C2,ALXAOCUIZADSIB-UHFFFAOYSA-N,50.0,50.0,EUR,567.0,2,Enamine,EU stock,EN300-333198,Cl.O=C1NC2CNCC1C2,,50,50,"[120540, 120658, 122044, 122046, 122085, 122089, 122123, 122136, 122143, 122158, 122185, 122210, 122765, 122796, 122905, 123691, 123701, 123703, 123704, 123705, 123706, 123712, 123719, 123732, 123748, 123770, 132283, 132297, 132340, 132345, 145454, 145515, 147687, 149393, 149441, 149452, 149803, 151010, 151047, 151229, 151251, 151268, 151275, 151279, 151282, 151284, 151300, 151311, 151328, 151332]","[122661, 122810, 124248, 124250, 124295, 124300, 124343, 124360, 124368, 124387, 124416, 124448, 125022, 125054, 125167, 125971, 125981, 125983, 125984, 125985, 125986, 125992, 125999, 126012, 126028, 126050, 133648, 133665, 133716, 133721, 146222, 146299, 148591, 150361, 150422, 150436, 150813, 152051, 152092, 152277, 152299, 152316, 152323, 152327, 152330, 152332, 152348, 152359, 152376, 152380]",Amidation,"[122489, 122496, 124229, 124230, 124231, 124232, 124236]"
