target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C125158,1,,,,O=C1NCC2CCNCC12,O=C(O)Cc1ccccc1Br,O=C1NCC2CCN(C(=O)Cc3ccccc3Br)CC12,Amidation,,
C124635,1,,,,NC(=O)C1CCCNC1,NC(C(=O)O)c1ccc(O)cc1,NC(=O)C1CCCN(C(=O)C(N)c2ccc(O)cc2)C1,Amidation,,
C124638,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1ccc(Br)cc1Br,NC(=O)C1CCCN(C(=O)Cc2ccc(Br)cc2Br)C1,Amidation,,
C125163,1,,,,CNC(=O)C1CCCNC1,O=C(O)Cc1ccccc1Br,CNC(=O)C1CCCN(C(=O)Cc2ccccc2Br)C1,Amidation,,
C125165,1,,,,CC1CCC(C(N)=O)CN1,O=C(O)Cc1ccccc1Br,CC1CCC(C(N)=O)CN1C(=O)Cc1ccccc1Br,Amidation,,
C104,1,,,,Cn1nc(C(=O)O)c2ccccc21,NCCc1cocn1,Cn1nc(C(=O)NCCc2cocn2)c2ccccc21,Amidation,,
C108,1,,,,Cn1nc(C(=O)O)c2ccccc21,COCC(C)N,COCC(C)NC(=O)c1nn(C)c2ccccc12,Amidation,,
C122393,1,,,,NCCc1cocn1,c1ccc2c(c1)CCN2,O=C(NCCc1cocn1)N1CCc2ccccc21,Formation_of_urea_from_two_amines,,
C152661,1,,,,O=C1NCC2CCNCC12,Cc1ccc2c(c1)C(C(=O)O)CC2,Cc1ccc2c(c1)C(C(=O)N1CCC3CNC(=O)C3C1)CC2,Amidation,,
C152663,1,,,,CNC(=O)C1CCCNC1,Cc1ccc2c(c1)C(C(=O)O)CC2,CNC(=O)C1CCCN(C(=O)C2CCc3ccc(C)cc32)C1,Amidation,,
C152665,1,,,,CC1CCC(C(N)=O)CN1,Cc1ccc2c(c1)C(C(=O)O)CC2,Cc1ccc2c(c1)C(C(=O)N1CC(C(N)=O)CCC1C)CC2,Amidation,,
C126239,1,,,,CC(Cl)c1ncccn1,CC(=O)Nc1ccccc1O,CC(=O)Nc1ccccc1OC(C)c1ncccn1,Williamson_ether_synthesis,,
C155848,1,,,,NC(=O)C1CCNC1,NC(C(=O)O)c1ccc(O)cc1,NC(=O)C1CCN(C(=O)C(N)c2ccc(O)cc2)C1,Amidation,,
C150578,1,,,,CC1CCC(C(N)=O)CN1,O=C(O)Cc1ccccn1,CC1CCC(C(N)=O)CN1C(=O)Cc1ccccn1,Amidation,,
C150581,1,,,,CNC(=O)C1CCCNC1,O=C(O)Cc1ccccn1,CNC(=O)C1CCCN(C(=O)Cc2ccccn2)C1,Amidation,,
C155857,1,,,,O=C(O)Cc1ccc(S)cc1,NNC(=O)C1CCNC1,NNC(=O)C1CCN(C(=O)Cc2ccc(S)cc2)C1,Amidation,,
C155858,1,,,,O=C(O)Cc1ccc(S)cc1,NNC(=O)C1CCNC1,O=C(Cc1ccc(S)cc1)NNC(=O)C1CCNC1,Amidation,,
C139990,1,,,,NCCc1cocn1,Cc1ccc2c(c1)C(C(=O)O)CC2,Cc1ccc2c(c1)C(C(=O)NCCc1cocn1)CC2,Amidation,,
C129966,1,,,,CC(Cl)c1ncc(Br)cn1,O=C1COc2cccc(O)c2N1,CC(Cl)c1ncc(Oc2cccc3c2NC(=O)CO3)cn1,Williamson_ether_synthesis,,
C125762,1,,,,CC1CCC(C(N)=O)CN1,O=C(O)Cc1ccc(O)cc1,CC1CCC(C(N)=O)CN1C(=O)Cc1ccc(O)cc1,Amidation,,
C156929,1,,,,O=C(O)Cc1ccc(Br)cc1Br,NNC(=O)C1CCNC1,O=C(Cc1ccc(Br)cc1Br)NNC(=O)C1CCNC1,Amidation,,
C156931,1,,,,O=C(O)Cc1ccc(Br)cc1Br,NNC(=O)C1CCNC1,NNC(=O)C1CCN(C(=O)Cc2ccc(Br)cc2Br)C1,Amidation,,
C122489,1,,,,NC(=O)C1CCCNC1,COc1cccnc1CC(=O)O,COc1cccnc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C122496,1,,,,NC(=O)C1CCCNC1,CSc1ccccc1CC(=O)O,CSc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,Amidation,,
C129080,1,,,,Cc1cnc(CCl)nc1,O=C1Cc2ccc(F)c(O)c2N1,Cc1cnc(COc2c(F)ccc3c2NC(=O)C3)nc1,Williamson_ether_synthesis,,
C124750,1,,,,CNC(=O)C1CCCNC1,O=C(O)Cc1cccc(I)c1,CNC(=O)C1CCCN(C(=O)Cc2cccc(I)c2)C1,Amidation,,
C135267,1,,,,NCCc1cocn1,NN1CCc2ccccc21,O=C(NCCc1cocn1)NN1CCc2ccccc21,Formation_of_urea_from_two_amines,,
C125289,1,,,,CNC(=O)C1CCCNC1,O=C(O)C1Cc2ccccc21,CNC(=O)C1CCCN(C(=O)C2Cc3ccccc32)C1,Amidation,,
C124770,1,,,,CC1CCC(C(N)=O)CN1,O=C(O)Cc1cccc(I)c1,CC1CCC(C(N)=O)CN1C(=O)Cc1cccc(I)c1,Amidation,,
C125291,1,,,,CC1CCC(C(N)=O)CN1,O=C(O)C1Cc2ccccc21,CC1CCC(C(N)=O)CN1C(=O)C1Cc2ccccc21,Amidation,,
C146367,1,,,,CNC(=O)C1CCCNC1,O=C(O)C1CCOc2ccccc21,CNC(=O)C1CCCN(C(=O)C2CCOc3ccccc32)C1,Amidation,,
C146369,1,,,,CC1CCC(C(N)=O)CN1,O=C(O)C1CCOc2ccccc21,CC1CCC(C(N)=O)CN1C(=O)C1CCOc2ccccc21,Amidation,,
C125299,1,,,,O=C1NCC2CCNCC12,O=C(O)C1Cc2ccccc21,O=C1NCC2CCN(C(=O)C3Cc4ccccc43)CC12,Amidation,,
C133619,1,,,,O=C1NCC2CCNCC12,O=C(O)Cc1ccn[nH]1,O=C1NCC2CCN(C(=O)Cc3ccn[nH]3)CC12,Amidation,,
C124220,1,,,,NCCc1cocn1,O=C(O)C1CCc2ccccc21,O=C(NCCc1cocn1)C1CCc2ccccc21,Amidation,,
C124230,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1ccccn1,NC(=O)C1CCCN(C(=O)Cc2ccccn2)C1,Amidation,,
C124231,1,,,,NC(=O)C1CCCNC1,O=C(O)C1CCOc2ccccc21,NC(=O)C1CCCN(C(=O)C2CCOc3ccccc32)C1,Amidation,,
C124232,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1ccn[nH]1,NC(=O)C1CCCN(C(=O)Cc2ccn[nH]2)C1,Amidation,,
C155966,1,,,,O=C(O)Cc1cccc(O)c1,NNC(=O)C1CCNC1,NNC(=O)C1CCN(C(=O)Cc2cccc(O)c2)C1,Amidation,,
C155969,1,,,,O=C(O)Cc1ccc(F)cc1,NNC(=O)C1CCNC1,NNC(=O)C1CCN(C(=O)Cc2ccc(F)cc2)C1,Amidation,,
C155970,1,,,,O=C(O)Cc1ccc(F)cc1,NNC(=O)C1CCNC1,O=C(Cc1ccc(F)cc1)NNC(=O)C1CCNC1,Amidation,,
C124797,1,,,,O=C1NCC2CCNCC12,O=C(O)Cc1cccc(I)c1,O=C1NCC2CCN(C(=O)Cc3cccc(I)c3)CC12,Amidation,,
C146392,1,,,,O=C1NCC2CCNCC12,O=C(O)C1CCOc2ccccc21,O=C1NCC2CCN(C(=O)C3CCOc4ccccc43)CC12,Amidation,,
C155378,1,,,,NC(=O)C1CCNC1,O=C(O)Cc1cccc(O)c1,NC(=O)C1CCN(C(=O)Cc2cccc(O)c2)C1,Amidation,,
C124236,1,,,,NC(=O)C1CCCNC1,O=C(O)C1CCc2ccccc21,NC(=O)C1CCCN(C(=O)C2CCc3ccccc32)C1,Amidation,,
C155382,1,,,,NC(=O)C1CCNC1,O=C(O)C1Cc2ccccc21,NC(=O)C1CCN(C(=O)C2Cc3ccccc32)C1,Amidation,,
C155988,1,,,,O=C(O)Cc1cccc(O)c1,NNC(=O)C1CCNC1,O=C(Cc1cccc(O)c1)NNC(=O)C1CCNC1,Amidation,,
C155397,1,,,,NC(=O)C1CCNC1,O=C(O)Cc1ccc(F)cc1,NC(=O)C1CCN(C(=O)Cc2ccc(F)cc2)C1,Amidation,,
C155995,1,,,,O=C(O)Cc1cccc(I)c1,NNC(=O)C1CCNC1,NNC(=O)C1CCN(C(=O)Cc2cccc(I)c2)C1,Amidation,,
C155996,1,,,,O=C(O)Cc1cccc(I)c1,NNC(=O)C1CCNC1,O=C(Cc1cccc(I)c1)NNC(=O)C1CCNC1,Amidation,,
C155406,1,,,,NC(=O)C1CCNC1,O=C(O)Cc1cccc(I)c1,NC(=O)C1CCN(C(=O)Cc2cccc(I)c2)C1,Amidation,,
C129164,1,,,,CC(Cl)c1ncccn1,O=C1COc2ccc(O)cc2N1,CC(Oc1ccc2c(c1)NC(=O)CO2)c1ncccn1,Williamson_ether_synthesis,,
C155421,1,,,,NC(=O)C1CCNC1,O=C(O)Cc1ccc(O)cc1,NC(=O)C1CCN(C(=O)Cc2ccc(O)cc2)C1,Amidation,,
C155427,1,,,,NC(=O)C1CCNC1,O=C(O)Cc1ccc(S)cc1,NC(=O)C1CCN(C(=O)Cc2ccc(S)cc2)C1,Amidation,,
C154894,1,,,,CNC(=O)C1CCCNC1,CSc1ccccc1CC(=O)O,CNC(=O)C1CCCN(C(=O)Cc2ccccc2SC)C1,Amidation,,
C133701,1,,,,CNC(=O)C1CCCNC1,O=C(O)Cc1ccn[nH]1,CNC(=O)C1CCCN(C(=O)Cc2cc[nH]n2)C1,Amidation,,
C133703,1,,,,CC1CCC(C(N)=O)CN1,O=C(O)Cc1ccn[nH]1,CC1CCC(C(N)=O)CN1C(=O)Cc1cc[nH]n1,Amidation,,
C124298,1,,,,NC(=O)C1CCCNC1,O=C(O)C1Cc2ccccc21,NC(=O)C1CCCN(C(=O)C2Cc3ccccc32)C1,Amidation,,
C155457,1,,,,NC(=O)C1CCNC1,O=C(O)Cc1ccccc1Br,NC(=O)C1CCN(C(=O)Cc2ccccc2Br)C1,Amidation,,
C152357,1,,,,NC(=O)C1CCCNC1,Cc1ccc2c(c1)C(C(=O)O)CC2,Cc1ccc2c(c1)C(C(=O)N1CCCC(C(N)=O)C1)CC2,Amidation,,
C124328,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1ccccc1Br,NC(=O)C1CCCN(C(=O)Cc2ccccc2Br)C1,Amidation,,
C124888,1,,,,CNC(=O)C1CCCNC1,O=C(O)Cc1cccc(O)c1,CNC(=O)C1CCCN(C(=O)Cc2cccc(O)c2)C1,Amidation,,
C124341,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1ccc(O)cc1,NC(=O)C1CCCN(C(=O)Cc2ccc(O)cc2)C1,Amidation,,
C124890,1,,,,CC1CCC(C(N)=O)CN1,O=C(O)Cc1cccc(O)c1,CC1CCC(C(N)=O)CN1C(=O)Cc1cccc(O)c1,Amidation,,
C156581,1,,,,O=C(O)C1Cc2ccccc21,NNC(=O)C1CCNC1,O=C(NNC(=O)C1Cc2ccccc21)C1CCNC1,Amidation,,
