hippo_id,smiles,inchikey,required_amount_mg,num_poses,poses,tags,num_routes,num_reaction_steps,reaction_dependencies,reactant_dependencies,route_ids,chemistry_types,is_scaffold,scaffold_series,inspirations
122393,O=C(NCCc1cocn1)N1CCc2ccccc21,CFBYKVAFAXYDRK-UHFFFAOYSA-N,1,2,"{237236, 207348}","['Syndirella scaffold', 'iter2', 'hits', 'iter2 scaffold']",1,{1},[120398],"{122418, 122428}",[19],Formation_of_urea_from_two_amines,True,[122393],A3392a
122489,COc1cccnc1CC(=O)N1CCCC(C(N)=O)C1,VJNDTMIDSGNFJC-UHFFFAOYSA-N,1,4,"{279387, 269227, 269228, 207414}","['Syndirella scaffold', 'P3_20241211', '[Other] upload_1 2024-12-06', 'iter2 scaffold', '[Other] upload_061224', 'iter2']",1,{1},[120461],"{62341, 122542}",[92],Amidation,False,[124230],A4283a
122496,CSc1ccccc1CC(=O)N1CCCC(C(N)=O)C1,OEVXZKJZIWUQNR-UHFFFAOYSA-N,1,5,"{292261, 292262, 207449, 207450, 207421}","['Syndirella scaffold', 'P3_20241211', '[Other] upload_1 2024-12-06', 'iter2 scaffold', '[Other] upload_061224', 'iter2']",1,{1},[120467],"{122548, 62341}",[98],Amidation,True,[122496],A4386a
124220,O=C(NCCc1cocn1)C1CCc2ccccc21,ZFSYVJFUGWTONQ-UHFFFAOYSA-N,1,2,"{245779, 245780}","['Syndirella scaffold', 'iter2', 'iter2 scaffold']",1,{1},[138256],"{122418, 125495}",[1680],Amidation,True,[124220],A3392a
124230,NC(=O)C1CCCN(C(=O)Cc2ccccn2)C1,WMWYUEBZLNFETL-UHFFFAOYSA-N,1,1,{274626},"['Syndirella scaffold', 'iter2', 'iter2 scaffold']",1,{1},[149387],"{150352, 62341}",[1684],Amidation,True,[124230],A4283a
124231,NC(=O)C1CCCN(C(=O)C2CCOc3ccccc32)C1,RICWRLKMGADZTG-UHFFFAOYSA-N,1,3,"{257875, 257876, 257877}","['Syndirella scaffold', 'iter2', 'iter2 scaffold']",1,{1},[145435],"{146197, 62341}",[1685],Amidation,True,[124231],A4260a
124232,NC(=O)C1CCCN(C(=O)Cc2ccn[nH]2)C1,WPGNVVSWAWFFDK-UHFFFAOYSA-N,1,1,{231959},"['Syndirella scaffold', 'iter2', 'iter2 scaffold']",1,{1},[132234],"{133593, 62341}",[1686],Amidation,True,[124232],A3606a
124236,NC(=O)C1CCCN(C(=O)C2CCc3ccccc32)C1,QLOUCWDEXUZFHL-UHFFFAOYSA-N,1,11,"{222400, 222401, 217163, 217164, 217165, 217166, 280332, 280333, 280334, 280335, 222399}","['Syndirella scaffold', 'iter2', 'iter2 scaffold']",1,{1},[123223],"{62341, 125495}",[1700],Amidation,False,[124229],"A3665a, A4386a, A4202a"
155397,NC(=O)C1CCN(C(=O)Cc2ccc(F)cc2)C1,JNNOZDLYQCXVPX-UHFFFAOYSA-N,1,2,"{298216, 298217}",['iter2'],1,{1},[154327],"{122505, 124356}",[33971],Amidation,False,[124237],A4317a
124797,O=C1NCC2CCN(C(=O)Cc3cccc(I)c3)CC12,CQCFCMLBXOFFBT-UHFFFAOYSA-N,1,4,"{214978, 214979, 220254, 220255}",['iter2'],1,{1},[122542],"{124371, 62359}",[2207],Amidation,False,[124229],"A3665a, A4386a, A4202a"
129966,CC(Cl)c1ncc(Oc2cccc3c2NC(=O)CO3)cn1,JBKBOMQTDHNLLZ-UHFFFAOYSA-N,1,2,"{228040, 228039}",['iter2'],1,{1},[128822],"{126618, 126191}",[7737],Williamson_ether_synthesis,False,[124233],A3522a
156931,NNC(=O)C1CCN(C(=O)Cc2ccc(Br)cc2Br)C1,KCSMNSOGZMAFBI-UHFFFAOYSA-N,1,2,"{303443, 303444}",['iter2'],1,{1},[155772],"{124637, 155479}",[35416],Amidation,False,[124237],A4317a
129164,CC(Oc1ccc2c(c1)NC(=O)CO2)c1ncccn1,MMYBCZSEJNXCIB-UHFFFAOYSA-N,1,2,"{227019, 227020}",['iter2'],1,{1},[126893],"{126088, 126595}",[6847],Williamson_ether_synthesis,False,[124233],A3522a
155848,NC(=O)C1CCN(C(=O)C(N)c2ccc(O)cc2)C1,LYBAAORFRBHMFU-UHFFFAOYSA-N,1,4,"{299656, 299657, 299654, 299655}",['iter2'],1,{1},[154695],"{122505, 124634}",[34339],Amidation,False,[124237],A4317a
125163,CNC(=O)C1CCCN(C(=O)Cc2ccccc2Br)C1,VHVOHIYCZLXFBH-UHFFFAOYSA-N,1,2,"{221232, 215981}",['iter2'],1,{1},[122901],"{62365, 124327}",[2565],Amidation,False,[124229],"A3665a, A4386a, A4202a"
152665,Cc1ccc2c(c1)C(C(=O)N1CC(C(N)=O)CCC1C)CC2,YICIZKOHSOJEFU-UHFFFAOYSA-N,1,8,"{282528, 282529, 282530, 282531, 282524, 282525, 282526, 282527}",['iter2'],1,{1},[151617],"{139989, 62373}",[31263],Amidation,False,[124236],"A3665a, A4386a, A4202a"
155378,NC(=O)C1CCN(C(=O)Cc2cccc(O)c2)C1,OULQYZGGAAHHFM-UHFFFAOYSA-N,1,1,{298146},['iter2'],1,{1},[154309],"{122505, 124345}",[33953],Amidation,False,[124237],A4317a
125289,CNC(=O)C1CCCN(C(=O)C2Cc3ccccc32)C1,ZTJAWUSBRUAHAW-UHFFFAOYSA-N,1,5,"{221704, 221705, 221706, 221707, 216463}",['iter2'],1,{1},[123026],"{124297, 62365}",[2690],Amidation,False,[124229],"A3665a, A4386a, A4202a"
127438,CC(=O)Nc1ccccc1Oc1cnc(C(C)Cl)nc1,MMPIDRJNZYAQJI-UHFFFAOYSA-N,1,2,"{225188, 225189}",['iter2'],1,{1},[125033],"{126116, 126191}",[5014],Williamson_ether_synthesis,False,[124233],A3522a
