hippo_id,smiles,inchikey,required_amount_mg,quoted_amount,quote_currency,quote_price,quote_lead_time_days,quote_supplier,quote_catalogue,quote_entry,quoted_smiles,quoted_purity,num_reaction_dependencies,num_product_dependencies,reaction_dependencies,product_dependencies,chemistry_types,scaffold_series
122418,NCCc1cocn1,RWIPJFQIYWOQKH-UHFFFAOYSA-N,5.0,100.0,EUR,326.0,10,Enamine,Global catalog,EN300-37274749,Cl.Cl.NCCc1cocn1,,5,5,"[120388, 120398, 133779, 138256, 138310]","[104, 122393, 124220, 135267, 139990]","Formation_of_urea_from_two_amines, Amidation","[122393, 124220]"
122428,c1ccc2c(c1)CCN2,LPAGFVYQRIESJQ-UHFFFAOYSA-N,1.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-19816,c1ccc2c(c1)CCN2,,1,1,[120398],[122393],Formation_of_urea_from_two_amines,[122393]
62341,NC(=O)C1CCCNC1,BVOCPVIXARZNQN-UHFFFAOYSA-N,16.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-18610,NC(=O)C1CCCNC1,,16,16,"[120461, 120467, 122087, 122110, 122121, 122125, 122128, 122133, 122146, 122384, 122386, 123223, 132234, 145435, 149387, 151309]","[122489, 122496, 124230, 124231, 124232, 124236, 124298, 124328, 124341, 124346, 124350, 124357, 124372, 124635, 124638, 152357]",Amidation,"[124229, 124230, 124236]"
122542,COc1cccnc1CC(=O)O,OPKXCVNZKVPQFE-UHFFFAOYSA-N,4.0,50.0,EUR,74.0,2,Enamine,EU stock,EN300-191272,COc1cccnc1CC(=O)O.Cl,,4,4,"[120461, 147749, 147799, 147801]","[122489, 148666, 148717, 148719]",Amidation,"[122489, 124230]"
122548,CSc1ccccc1CC(=O)O,PSRVZRJMWNFSIZ-UHFFFAOYSA-N,4.0,50.0,EUR,52.0,2,Enamine,EU stock,EN300-127131,CSc1ccccc1CC(=O)O,,4,4,"[120467, 120752, 120754, 153842]","[122496, 122911, 122913, 154894]",Amidation,[122496]
125495,O=C(O)C1CCc2ccccc21,JBQMFBWTKWOSQX-UHFFFAOYSA-N,6.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-66970,O=C(O)C1CCc2ccccc21,,6,6,"[123223, 138256, 151392, 151405, 151434, 155052]","[124220, 124236, 152440, 152453, 152482, 156205]",Amidation,"[124229, 124236, 124237]"
150352,O=C(O)Cc1ccccn1,BPSNETAIJADFTO-UHFFFAOYSA-N,3.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-34537,Cl.O=C(O)Cc1ccccn1,,3,3,"[149387, 149575, 149578]","[124230, 150578, 150581]",Amidation,[124230]
146197,O=C(O)C1CCOc2ccccc21,RGWHTTALQBHDGZ-UHFFFAOYSA-N,4.0,50.0,EUR,105.0,2,Enamine,EU stock,EN300-65938,O=C(O)C1CCOc2ccccc21,,4,4,"[145435, 145575, 145577, 145600]","[124231, 146367, 146369, 146392]",Amidation,[124231]
133593,O=C(O)Cc1ccn[nH]1,NTVKSUPEUFXUGS-UHFFFAOYSA-N,4.0,50.0,EUR,26.0,2,Enamine,EU stock,EN300-71405,Cl.O=C(O)Cc1ccn[nH]1,,4,4,"[132234, 132256, 132328, 132330]","[124232, 133619, 133701, 133703]",Amidation,[124232]
122505,NC(=O)C1CCNC1,IQHXABCGSFAKPN-UHFFFAOYSA-N,10.0,50.0,EUR,33.0,2,Enamine,EU stock,EN300-70092,Cl.NC(=O)C1CCNC1,,10,10,"[154309, 154313, 154327, 154336, 154348, 154354, 154382, 154695, 154949, 155052]","[155378, 155382, 155397, 155406, 155421, 155427, 155457, 155848, 156102, 156205]",Amidation,[124237]
124356,O=C(O)Cc1ccc(F)cc1,MGKPFALCNDRSQD-UHFFFAOYSA-N,7.0,50.0,EUR,18.0,2,Enamine,EU stock,EN300-20216,O=C(O)Cc1ccc(F)cc1,,7,7,"[122133, 122715, 122717, 122725, 154327, 154816, 154817]","[124357, 124970, 124972, 124980, 155397, 155969, 155970]",Amidation,"[124229, 124237]"
62359,O=C1NCC2CCNCC12,SXNMNJGBKPGDPH-UHFFFAOYSA-N,12.0,50.0,EUR,218.0,2,Enamine,EU stock,EN300-7218055,O=C1NC[C@@H]2CCNC[C@H]12,,12,12,"[120752, 122542, 122680, 122725, 122896, 123036, 123365, 132256, 145600, 147749, 151392, 151613]","[122911, 124797, 124935, 124980, 125158, 125299, 125640, 133619, 146392, 148666, 152440, 152661]",Amidation,"[122489, 122496, 124229, 124231, 124232, 124236]"
